protocol,src-address,src-port,dst-address,dst-port,tcp-state,connection-mark,resolved,flow
tcp,175.103.43.90,50164.0,43.247.15.4,8081.0,established,LOKAL.c,,IN.bound
udp,192.168.1.15,38703.0,167.179.67.29,21116.0,,INTL.c,,OUT.bound
tcp,175.103.43.90,50088.0,43.247.15.4,899.0,established,,,IN.bound
udp,192.168.1.15,43253.0,124.70.190.43,21116.0,,INTL.c,,OUT.bound
icmp,175.103.43.90,,43.247.15.4,,,,,IN.bound
tcp,175.103.43.90,55820.0,43.247.15.4,899.0,established,,,IN.bound
tcp,192.168.1.15,46110.0,47.241.102.53,31006.0,established,INTL.c,,OUT.bound
udp,0.0.0.0,20561.0,255.255.255.255,20561.0,,,,broadcast
tcp,192.168.1.15,36427.0,47.241.191.117,31006.0,established,INTL.c,,OUT.bound
tcp,192.168.1.15,43482.0,47.245.116.221,8820.0,established,INTL.c,,OUT.bound
udp,192.168.1.15,4500.0,103.146.63.122,4500.0,,LOKAL.c,,OUT.bound
tcp,192.168.1.15,46634.0,142.251.12.91,443.0,established,LOKAL.c,,OUT.bound
tcp,192.168.1.15,50762.0,143.244.33.73,443.0,established,INTL.c,,OUT.bound
tcp,192.168.1.15,52150.0,92.223.85.121,443.0,established,INTL.c,,OUT.bound
tcp,192.168.1.15,56374.0,92.223.85.164,443.0,established,INTL.c,,OUT.bound
tcp,192.168.1.15,63111.0,209.58.183.231,443.0,established,INTL.c,,OUT.bound
tcp,192.168.1.15,56720.0,122.144.2.205,443.0,established,LOKAL.c,,OUT.bound
udp,192.168.1.15,47280.0,122.144.2.204,443.0,,LOKAL.c,,OUT.bound
udp,10.172.40.35,58791.0,255.255.255.255,10002.0,,,,broadcast
udp,192.168.1.15,21558.0,34.126.80.150,3478.0,,LOKAL.c,,OUT.bound
udp,10.172.41.90,49937.0,255.255.255.255,10002.0,,,,broadcast
udp,192.168.1.15,18924.0,34.126.80.150,3478.0,,LOKAL.c,,OUT.bound
tcp,192.168.1.15,50760.0,34.101.50.130,5938.0,established,LOKAL.c,,OUT.bound
udp,103.234.253.210,5678.0,255.255.255.255,5678.0,,,,broadcast
udp,10.172.41.58,42751.0,255.255.255.255,10002.0,,,,broadcast
udp,10.172.40.3,5678.0,255.255.255.255,5678.0,,,,broadcast
udp,10.172.41.51,35434.0,255.255.255.255,10002.0,,,,broadcast
udp,192.168.1.15,46232.0,122.144.1.1,53.0,,LOKAL.c,,OUT.bound
udp,10.172.41.50,54016.0,255.255.255.255,10002.0,,,,broadcast
tcp,192.168.1.15,41436.0,74.125.24.188,5228.0,established,LOKAL.c,,OUT.bound
tcp,192.168.1.15,47320.0,47.245.119.50,443.0,established,INTL.c,,OUT.bound
udp,10.172.40.59,51686.0,255.255.255.255,10002.0,,,,broadcast
udp,192.168.1.15,56832.0,35.247.161.22,5683.0,,LOKAL.c,,OUT.bound
tcp,192.168.1.15,56748.0,34.87.93.12,80.0,time-wait,LOKAL.c,,OUT.bound
udp,192.168.1.15,43013.0,122.144.1.1,53.0,,LOKAL.c,,OUT.bound
tcp,192.168.1.15,53411.0,34.87.93.12,80.0,time-wait,LOKAL.c,,OUT.bound
udp,10.172.40.148,5678.0,255.255.255.255,5678.0,,,,broadcast
udp,10.172.40.156,5678.0,255.255.255.255,5678.0,,,,broadcast
udp,43.247.15.4,36833.0,10.79.21.14,1812.0,,,,local
udp,43.247.15.4,58452.0,10.79.21.14,1812.0,,,,local
tcp,175.103.43.90,50705.0,43.247.15.4,8278.0,established,,,IN.bound
udp,43.247.15.4,52428.0,10.79.21.14,1813.0,,,,local
udp,43.247.15.4,54271.0,122.144.3.6,514.0,,,,OUT.bound
udp,43.247.15.4,55818.0,10.79.21.14,1813.0,,,,local
tcp,175.103.43.90,50704.0,43.247.15.4,8278.0,time-wait,,,IN.bound
udp,10.172.40.91,59253.0,255.255.255.255,10002.0,,,,broadcast
