name,data
kurnia.id,202.148.6.185
www.kurnia.id,202.148.6.185
a.root-servers.net,198.41.0.4
my1story.xyz,139.162.212.131
weirdgames.info,3.141.96.53
weirdgames.info,3.20.137.44
carsero.com,23.227.38.72
bzsx.net,38.177.214.84
picsgifs.xyz,139.162.212.131
ecards-passion.net,75.2.115.196
gamesone.xyz,139.162.212.131
afrizion.com,104.21.18.196
afrizion.com,172.67.183.77
teishi.ch,83.166.135.156
fcr.com.br,209.133.201.74
wchampmuse.pw,199.59.243.225
prinssen.net,83.217.71.219
forestcompany.ro,45.86.220.151
mailaccaunt1.co.cc,175.126.123.219
strtbiz.site,195.133.45.237
feelingmoney.com,198.185.159.144
feelingmoney.com,198.49.23.144
feelingmoney.com,198.185.159.145
feelingmoney.com,198.49.23.145
onlinegt.xyz,139.162.212.131
smartech.pe,50.31.174.86
fanmusic.xyz,139.162.212.131
zancetom.com,103.224.212.210
mobstore.xyz,3.64.163.50
mailsystem256.co.cc,10.10.10.10
sitestory.xyz,139.162.212.131
mobigifs.xyz,139.162.212.131
senourth.com,104.155.138.21
senourth.com,107.178.223.183
1abcnews.xyz,139.162.212.131
dsdfjpjbkxhyv.cloudfront.net,13.33.33.16
dsdfjpjbkxhyv.cloudfront.net,13.33.33.100
dsdfjpjbkxhyv.cloudfront.net,13.33.33.97
dsdfjpjbkxhyv.cloudfront.net,13.33.33.26
myphotos.xyz,3.64.163.50
dartspeak.xyz,139.162.212.131
caserne.ch,84.16.66.164
phonemus.net,127.0.0.1
7standby.com,127.0.0.1
specialword.xyz,34.174.61.199
cloudsond.me,127.0.0.1
4shared.com,204.155.149.43
4shared.com,204.155.146.95
4shared.com,204.155.149.42
4shared.com,204.155.149.41
bouwproductenonline.nl,91.184.0.52
massgames.space,34.174.78.212
bestony.club,35.204.181.10
spgames.site,127.0.0.1
hitsmoby.com,204.11.56.48
spacewb.tech,127.0.0.1
hxlb.net,207.60.34.9
takebad1.com,127.0.0.1
globalmoby.xyz,34.29.71.138
sspab.se,93.90.145.102
portgame.website,34.29.71.138
motinkon.com,34.162.170.92
bgnt.net,154.216.89.133
detik.com,203.190.242.211
detik.com,103.49.221.211
google.com,64.233.170.100
google.com,64.233.170.102
google.com,64.233.170.113
google.com,64.233.170.138
google.com,64.233.170.101
google.com,64.233.170.139
hdr-nlb9-41371129e8304c29.elb.us-east-1.amazonaws.com,52.71.57.184
hdr-nlb9-41371129e8304c29.elb.us-east-1.amazonaws.com,54.209.32.212
audiomain.website,127.0.0.1
