name,data
global-balancer-d.mikrotik.com,159.148.147.244
akcdn.detik.net.id,103.49.221.102
akcdn.detik.net.id,203.190.242.102
cdnstatic.detik.com,203.190.242.172
cdnstatic.detik.com,103.49.221.172
mood.detik.com,203.190.242.122
mood.detik.com,103.49.221.122
newrevive.detik.com,103.49.221.244
newrevive.detik.com,203.190.242.244
cs491.wac.edgecastcdn.net,192.229.237.25
rec.detik.com,103.49.221.155
rec.detik.com,203.190.245.225
cdnv.detik.com,103.49.221.99
cdnv.detik.com,203.190.242.228
kayumanis.detik.com,34.149.209.250
push.detik.com,103.49.221.172
push.detik.com,203.190.242.172
match.adsrvr.org,52.223.40.198
match.adsrvr.org,35.71.131.137
match.adsrvr.org,15.197.193.217
match.adsrvr.org,3.33.220.150
ssptkr-sin12.pubmnet.com,207.65.33.84
data.cdnbasket.net,34.149.164.179
page.cdnbasket.net,34.149.239.87
view.cdnbasket.net,34.98.81.245
pugmaster-sg4c.pubmnet.com,67.199.150.81
bidder.sg1.vip.prod.criteo.com,182.161.73.145
dsp.adfarm1.adition.com,85.114.159.93
dsp.adfarm1.adition.com,85.114.159.118
inv-nets.admixer.net,23.108.103.8
pippio.com,107.178.254.65
imgsync-sg4c.pubmnet.com,67.199.150.82
services.brightline.tv,52.223.18.66
ow-sg4c.pubmnet.com,67.199.150.77
s2s.t13.io,34.107.140.113
aux.fqtag.com,35.190.13.203
collent.detik.com,34.120.133.188
csm.sg1.vip.prod.criteo.net,182.161.73.142
pugm-sin12.pubmnet.com,207.65.33.83
privacy.sg1.vip.prod.criteo.com,182.161.73.150
ums.acuityplatform.com,154.59.122.79
cx.serverbid.com,159.89.246.130
envoy-hl.envoy-csync1.core-b8mf.ov1o.com,35.214.190.137
envoy-hl.envoy-csync1.core-b8mf.ov1o.com,35.214.226.85
envoy-hl.envoy-csync1.core-b8mf.ov1o.com,35.214.188.57
envoy-hl.envoy-csync1.core-b8mf.ov1o.com,35.214.243.249
envoy-hl.envoy-csync1.core-b8mf.ov1o.com,35.214.159.67
envoy-hl.envoy-csync1.core-b8mf.ov1o.com,35.214.167.175
sid.storygize.net,143.244.208.184
fastly-tls12-bam.nr-data.net,162.247.243.29
ip.co.id,203.161.184.11
adsensecamp.com,103.30.145.12
a5425.casalemedia.com,23.90.68.116
widget.sg1.vip.prod.criteo.com,182.161.73.146
awscdn.detik.net.id,103.49.221.172
awscdn.detik.net.id,203.190.242.172
gum.sg1.vip.prod.criteo.com,182.161.73.136
cdn.detik.net.id,103.49.221.172
cdn.detik.net.id,203.190.242.172
20.detik.com,103.49.221.182
20.detik.com,203.190.242.182
video.detik.com,203.190.242.240
video.detik.com,103.49.221.240
pushads.detik.com,103.49.221.240
pushads.detik.com,203.190.242.240
load-apne1.exelator.com,54.150.10.110
parsley.detik.com,35.190.119.33
cs.admanmedia.com,80.77.87.163
sync.aralego.com,209.58.171.197
fqtag.com,35.190.72.161
bcs.binus.ac.id,202.58.182.241
licensing.bitmovin.com,35.227.229.24
static.sg1.vip.prod.criteo.net,182.161.73.129
