indicator,asn,country_code2,name,description,modified,created
143.42.76.52,ASNone ,US,,,,
185.224.128.184,AS62068 spectraip b.v.,NL,Scan port 23 Telnet (S3#),Scans hitting the server at TCP port 23 Telnet. Same IP should not appear more than once in 96 hours,2023-11-10T22:01:18.805000,2023-10-11T22:17:20.508000
35.213.190.132,AS15169 google llc,SG,,,,
118.98.93.67,AS7713 pt telekomunikasi indonesia,ID,,,,
84.205.222.133,AS35506 information society s.a.,GR,,,,
185.10.68.220,AS200651 flokinet ltd,SC,IOC Records Provided by @NextRayAI,This IOC report provided and daily updated by NextRay AI Detection & Response Inc.,2023-11-14T20:31:11.734000,2022-10-11T13:14:18.676000
43.133.45.194,AS132203 tencent building  kejizhongyi avenue,SG,,,,
157.240.218.60,AS32934 facebook  inc.,SG,,,,
8.218.162.255,AS45102 alibaba (us) technology co.  ltd.,SG,ETIC Cybersecurity 2023-11-15 Port Scan,,2023-11-15T22:59:53.097000,2023-11-14T23:00:08.136000
146.196.111.212,AS139460 pt maxindo mitra solusi,ID,,,,
163.70.141.60,ASNone ,FR,,,,
157.240.217.60,AS32934 facebook  inc.,SG,,,,
157.240.7.53,AS32934 facebook  inc.,SG,,,,
34.117.97.41,AS396982 google,US,,,,
54.255.247.221,AS16509 amazon.com inc,SG,,,,
157.240.235.60,AS32934 facebook  inc.,SG,,,,
157.240.235.35,AS32934 facebook  inc.,SG,Toll Troll AU,,2022-09-19T00:10:46.535000,2022-08-20T09:11:18.427000
195.85.201.201,AS211557 oguzhan oktay,TR,LCIA:HoneyNet:2023,,2023-06-24T12:00:07.021000,2023-01-01T00:00:05.491000
43.134.53.107,AS132203 tencent building  kejizhongyi avenue,SG,,,,
74.125.24.132,AS15169 google llc,US,,,,
31.13.68.61,AS32934 facebook  inc.,SG,,,,
45.152.188.226,AS1239 sprint,US,,,,
108.137.154.226,AS16509 amazon.com inc,ID,,,,
157.240.7.54,AS32934 facebook  inc.,SG,,,,
54.252.158.83,AS16509 amazon.com inc,AU,,,,
157.240.235.61,AS32934 facebook  inc.,SG,,,,
157.240.15.60,AS32934 facebook  inc.,SG,,,,
27.2.218.178,AS45543 saigon tourist cable televition company,VN,,,,
34.200.158.177,AS14618 amazon.com  inc.,US,,,,
23.216.158.194,AS7713 pt telekomunikasi indonesia,ID,,,,
35.186.203.63,AS15169 google llc,US,,,,
16.63.167.3,AS16509 amazon.com inc,CH,,,,
182.253.101.98,AS17451 biznet networks,ID,,,,
157.240.13.54,AS32934 facebook  inc.,SG,,,,
74.125.200.188,AS15169 google llc,US,LCIA:HoneyNet:2023,pulled from router,2023-07-23T12:04:51.473000,2023-05-27T06:06:26.480000
31.13.68.60,AS32934 facebook  inc.,SG,,,,
205.210.31.196,AS396982 google,CA,IP Addresses Logged by the Rosethorn PotNet,Malicious activity detections from a small network of honeypots that spans multiple ISPs and geograp,2023-11-16T02:59:44.776000,2023-03-27T16:17:36.094000
64.233.170.188,AS15169 google llc,US,,,,
183.245.14.201,AS56041 china mobile communications corporation,CN,,,,
103.147.212.115,AS140403 pt. graha fatta,NL,,,,
52.62.33.28,AS16509 amazon.com inc,AU,,,,
3.27.233.51,AS16509 amazon.com inc,AU,,,,
149.154.167.99,AS62041 telegram messenger inc,AG,Lucky Mouse APT27 | Feodo Tracker | Malicious Tor Server | Apple iOS,,2023-11-09T18:50:39.675000,2023-11-09T18:50:39.675000
108.137.96.34,AS16509 amazon.com inc,ID,,,,
66.90.98.108,AS30058 fdcservers.net,US,,,,
45.121.219.240,AS131702 moratelindo internet exchange,ID,,,,
157.240.13.55,AS32934 facebook  inc.,SG,,,,
45.89.228.144,AS49392 llc baxet,RU,,,,
16.62.6.99,AS16509 amazon.com inc,CH,,,,
149.18.62.59,ASNone ,US,,,,
172.217.194.95,AS15169 google llc,US,,,,
180.250.81.23,AS7713 pt telekomunikasi indonesia,ID,,,,
152.199.44.134,AS15133 verizon,US,,,,
43.128.117.110,AS132203 tencent building  kejizhongyi avenue,SG,,,,
157.240.15.61,AS32934 facebook  inc.,SG,,,,
8.219.89.234,AS45102 alibaba (us) technology co.  ltd.,SG,,,,
218.92.0.113,AS4134 chinanet,CN,SSH Brute-Force Honeypot Live,every host is banned for 3 hours and receives an abuse report from me every 96 hours if it continues,2023-11-16T03:00:11.379000,2021-07-13T01:00:09.665000
89.28.248.151,AS15454 arbuz co.ltd,RU,ETIC Cybersecurity 2023-11-15 Port Scan,,2023-11-15T22:59:53.097000,2023-11-14T23:00:08.136000
8.247.49.120,AS3356 level 3 parent  llc,US,,,,
142.251.85.6,AS15169 google llc,US,,,,
146.88.240.17,AS20052 arbor networks  inc.,US,ETIC Cybersecurity 2023-11-15 Port Scan,,2023-11-15T22:59:53.097000,2023-11-14T23:00:08.136000
175.103.43.90,AS38320 pt maxindo mitra solusi,ID,,,,
217.146.12.139,AS42473 anexia internetdienstleistungs gmbh,IN,firewall conns,Proto NATed Address Â£1.5m  - that is the name given to the state of the Republic of Ireland - is no,2022-09-14T00:04:55.995000,2022-08-15T10:03:20.068000
213.227.184.137,AS42473 anexia internetdienstleistungs gmbh,IN,,,,
34.102.147.19,AS396982 google,US,,,,
143.244.33.102,AS60068 datacamp limited,SG,LCIA:HoneyNet:2023,,2023-06-24T12:00:07.021000,2023-01-01T00:00:05.491000
43.218.112.138,ASNone ,AU,,,,
212.86.201.197,AS12480 ilk internet.gmbh,DE,,,,
184.105.139.124,AS6939 hurricane electric llc,US,Georgs Honeypot,Honeypot,2023-11-16T03:03:02.361000,2021-04-07T09:05:05.353000
212.252.117.237,AS34984 tellcom iletisim hizmetleri a.s.,TR,,,,
45.150.130.26,AS22773 cox communications inc.,US,,,,
157.240.218.61,AS32934 facebook  inc.,SG,,,,
157.240.217.61,AS32934 facebook  inc.,SG,,,,
34.102.162.219,AS396982 google,US,LCIA:HoneyNet:2023,,2023-06-24T12:00:07.021000,2023-01-01T00:00:05.491000
169.150.249.163,ASNone ,US,,,,
142.251.10.132,AS15169 google llc,US,,,,
8.8.8.8,AS15169 google llc,US,,,,
210.210.145.136,AS4787 pt cyberindo aditama,ID,,,,
117.157.81.150,AS9808 china mobile communications group co.  ltd.,CN,,,,
202.168.105.218,AS10122 bigo technology pte. ltd.,SG,,,,
163.70.141.61,ASNone ,FR,,,,
103.134.152.12,AS138608 cloud host pte ltd,SG,,,,
43.128.74.37,AS132203 tencent building  kejizhongyi avenue,SG,,,,
146.196.111.213,AS139460 pt maxindo mitra solusi,ID,,,,
188.42.124.132,AS7979 servers.com  inc.,SG,,,,
103.147.212.116,AS140403 pt. graha fatta,NL,,,,
108.137.101.96,AS16509 amazon.com inc,ID,,,,
199.103.24.2,AS396986 bytedance inc.,US,,,,
8.210.217.47,AS45102 alibaba (us) technology co.  ltd.,HK,,,,
23.205.70.211,AS7713 pt telekomunikasi indonesia,ID,,,,
118.98.113.99,AS7713 pt telekomunikasi indonesia,ID,,,,
142.251.10.95,AS15169 google llc,US,uTorrent seeds from a VM,The world\,2022-12-16T13:03:24.863000,2022-11-16T13:55:36.805000
143.244.50.85,AS60068 datacamp limited,US,,,,
193.164.7.187,AS210538 ,TR,,,,
37.252.229.173,AS42473 anexia internetdienstleistungs gmbh,JP,,,,
108.137.8.202,AS16509 amazon.com inc,ID,,,,
23.32.232.22,AS7713 pt telekomunikasi indonesia,BR,,,,
117.18.232.240,AS15133 verizon,AU,,,,
143.244.50.90,AS60068 datacamp limited,US,,,,
3.216.157.31,AS14618 amazon.com  inc.,US,,,,
101.32.248.90,AS132203 tencent building  kejizhongyi avenue,SG,,,,
120.133.218.125,AS17621 china unicom shanghai network,CN,ETIC Cybersecurity 2023-11-15 Port Scan,,2023-11-15T22:59:53.097000,2023-11-14T23:00:08.136000
37.252.244.139,AS42473 anexia internetdienstleistungs gmbh,KR,,,,
16.63.87.192,AS16509 amazon.com inc,CH,,,,
184.25.236.203,AS7713 pt telekomunikasi indonesia,ID,,,,
169.136.79.100,AS10122 bigo technology pte. ltd.,SG,,,,
43.218.143.193,ASNone ,AU,,,,
169.150.249.169,ASNone ,US,,,,
172.247.44.122,AS40065 cnservers llc,US,,,,
23.32.234.55,AS7713 pt telekomunikasi indonesia,BR,,,,
23.32.245.169,AS20940 akamai international b.v.,US,,,,
103.107.199.46,AS137409 gsl networks pty ltd,SG,,,,
118.98.93.56,AS7713 pt telekomunikasi indonesia,ID,,,,
43.128.118.190,AS132203 tencent building  kejizhongyi avenue,SG,,,,
103.126.10.171,AS138106 pt lintas telematika nusantara,ID,,,,
20.198.118.190,AS8075 microsoft corporation,IN,LCIA:HoneyNet:2022,,2023-01-30T23:00:04.143000,2022-03-16T14:03:19.241000
23.222.26.17,AS16625 akamai technologies  inc.,US,,,,
142.250.4.95,AS15169 google llc,US,,,,
74.125.24.190,AS15169 google llc,US,,,,
23.223.112.135,AS16625 akamai technologies  inc.,BG,,,,
129.226.103.123,AS132203 tencent building  kejizhongyi avenue,HK,,,,
